country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","07-01-2025 17:00:00",25.586562,85.043586,OZONE,4,16,11
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","07-01-2025 17:00:00",22.126650,83.483212,OZONE,3,4,3
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","07-01-2025 17:00:00",27.103358,93.679645,OZONE,3,3,3
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","07-01-2025 17:00:00",26.10887,91.589544,OZONE,16,22,19
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","07-01-2025 17:00:00",21.194815,81.314770,OZONE,1,77,65
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","07-01-2025 17:00:00",21.224231,81.408350,OZONE,4,39,34
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","07-01-2025 17:00:00",25.697189,85.245900,OZONE,5,15,9
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","07-01-2025 17:00:00",27.308328,84.531742,OZONE,9,10,10
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","07-01-2025 17:00:00",26.349082,92.68449,OZONE,4,36,10
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","07-01-2025 17:00:00",14.675886,77.593027,OZONE,16,54,43
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","07-01-2025 17:00:00",26.1209,85.3647,OZONE,10,29,19
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","07-01-2025 17:00:00",22.118125,83.140608,OZONE,17,70,45
India,Delhi,Delhi,"Alipur, Delhi - DPCC","07-01-2025 17:00:00",28.815329,77.153010,OZONE,20,50,45
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","07-01-2025 17:00:00",23.076793,72.627874,OZONE,24,58,46
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","07-01-2025 17:00:00",23.043070,72.562968,OZONE,15,36,29
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","07-01-2025 17:00:00",23.002657,72.591912,OZONE,9,29,25
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","07-01-2025 17:00:00",23.020509,72.579261,OZONE,21,77,60
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","07-01-2025 17:00:00",28.6514781,77.1473105,OZONE,8,16,12
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","07-01-2025 17:00:00",28.710508,77.249485,OZONE,17,48,40
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","07-01-2025 17:00:00",23.163798,72.677768,OZONE,11,35,28
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","07-01-2025 17:00:00",28.567890,77.250515,OZONE,14,72,51
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","07-01-2025 17:00:00",28.732820,77.170633,OZONE,6,25,16
India,Delhi,Delhi,"DTU, Delhi - CPCB","07-01-2025 17:00:00",28.7500499,77.1112615,OZONE,38,40,39
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","07-01-2025 17:00:00",21.371751,81.664929,OZONE,3,3,3
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","07-01-2025 17:00:00",28.4227,77.0667,OZONE,10,46,41
